I believe in following my dreams. Can I have your Instagram? ,Your hand looks lonely. Can I hold it for you? ,Are you a wave? Because I feel a strong attraction every time I see you.,"Baby, you're body is like a hyperbola","Baby, you make my floppy disk turn into a hard drive",Can't sleep? Let's make the most of our time together.,Knock Knock Who's there? Orange! Orange who? Orange you stunning. ,Are you a magician??? Because Abraca-DAYUM!
Is your name Google? Because you're everything I've been searching for. ,I believe in following my dreams. Can I have your Instagram? ,Are you a wormhole? Because I want to take a shortcut to your heart.,"Baby, you're like a student and I'm like a math book... you solve all my problems!","Baby, you must be running a TCP protocol, since every time I talk to you, your body gives me an acknowledgment!",Do you like sleeping? Because I promise to give you sweet dreams every night.,Knock Knock Who's there? Pauline! Pauline Who? I think I'm Pauline in love with you. ,Are you a microwave oven? Because you melt my heart.
"Did the sun come out, or did you just smile at me? ",Is your name Google? Because you're everything I've been searching for. ,Are you an alpha particle? Because you make my heart race.,Being with you is like switching to polar coordinates: complex and imaginary things now have a magnitude and direction.,"Baby, you overclock my processor.",Do you like sleeping? Because I want to be your dream come true.,Knock Knock! Who’s there? Aladdin! Aladdin who? A lad din the street wants a word with you!,
"To quote the poet Katy Perry, ""You make me feel like I'm living a teenage dream.""","Did the sun come out, or did you just smile at me? ",Are you an electron? Because you’re attractive.,Being without you is like being a metric space in which exists a cauchy sequence that does not converge,Be the hard drive of my dreams.,Do you like sleeping? Because I'd love to share my bed with you.,Knock knock! Who’s there? Aretha. Aretha who? Aretha flowers for you.,Are you a parking ticket? Because you've got FINE written all over you.
"Hey, my name's Microsoft. Can I crash at your place tonight? ","To quote the poet Katy Perry, ""You make me feel like I'm living a teenage dream.""",Are you made of baryons? Because you’re my type of matter.,"Bertrand Russell was a renowned mathematician, philosopher and advocate for sexual liberation. How about we cut math and philosophy class and focus on the rest of Russell’s life.","Before you, I was a PC without a power outlet.",Do you like sleeping? Because I'll do whatever it takes to make sure you have a good night's rest.,"Knock Knock! Who’s there? Boo. Boo who? No more tears, your love is here.",Are you a Snickers bar? Because you satisfy me.
Did your license get suspended for driving all those guys crazy? ,"Hey, my name's Microsoft. Can I crash at your place tonight? ","Are you made of dark matter? Because you’re difficult to detect, but I feel your influence all around me.","By looking at you I can tell you're 36-25-36, which by the way are all perfect squares.",Can I stick my USB drive in your USB port?,Do you like sleeping? Because I'm the perfect partner for your cozy nights in.,Knock knock! Who’s there? Cheese. Cheese who? Cheese a cute girl!,Are you a tamale? 'Because you're hot.
Are you a broom? Because you've swept me off my feet.,Did your license get suspended for driving all those guys crazy? ,Are you made of uranium and iodine? Because all I can see is U and I together.,Can i explore your mean value?,Can you be my ActionListener? That way you notice everything that I do.,Forget Netflix and chill - let's have a sleepover and snuggle under the blankets.,"Knock Knock! Who’s there? I love you! I love you who? Don’t ask who, because it’s you.",Are you a terrorist? ... cause you're the bomb!
Do you have a Band-Aid? I scraped my knee falling for you.,Are you a broom? Because you've swept me off my feet.,Are you the sun? Because you’re the center of my universe.,Can I plug my solution into your equation?,Can you be my private variable? I want to be the only one with access to you.,How about we skip the bar and have a cozy sleepover instead?,Knock Knock! Who’s there? Ken. Ken who? Can I get some sweet loving?,Are you African? Because you're a frican babe.
"I'm learning about important dates in history, wanna be one of them? ",Do you have a Band-Aid? I scraped my knee falling for you.,Can I be your derivative so I can lie tangent to your curves?,"Excuse me, ma'am, but can I get your seven significant digits?",Come to my 127.0.0.1 and I’ll give you sudo access.,How did you sleep last night? Because I want to be the reason why you slept so well.,Knock Knock! who’s there? marry. marry who? marry me.,"Are you an interior decorator? Because when I saw you, the entire room became beautiful."
Let’s taco ‘bout how amazing you are over tacos and margaritas next week.,"I'm learning about important dates in history, wanna be one of them? ",Can I be your Higgs boson? Because I want to give your life meaning and mass.,Girl my love for you goes on like the number pi,Computer techs have skilled fingers if you know what I mean.,How did you sleep last night? Because I was dreaming about you all night long.,Knock Knock! Who’s there? Mistletoe. Mistletoe who? How can I kiss you I’m outside!,Are you an interior decorator? Because you are making this room beautiful
What do you call a string of people lifting a mozzarella cheese? A cheesy pickup line. ,Let’s taco ‘bout how amazing you are over tacos and margaritas next week.,Can I be your Schrödinger’s cat? I want to be in a superposition of being both alive and in love with you.,,"Could I borrow your smartphone? I need to post a Facebook status update that I've met the woman of my dreams, in order to make all the ex-girlfriends I'm still Facebook friends with jealous.",How did you sleep last night? I wish I could have been there to cuddle you.,Knock Knock! Who’s there? Will. Will who? Will be my Valentine?,Are you an orphanage? Because I wanna give you kids.
Do you play soccer? Because you look like a keeper. ,What do you call a string of people lifting a mozzarella cheese? A cheesy pickup line. ,Can I be your wave function? I promise to collapse for you.,Hey baby I'm an engineer. I can mend your broken heart,Could I have your I.P.?,How did you sleep? Because I couldn't stop thinking about you and if you were comfortable.,Knock knock! Who's there? Al. Al who? Al give you a kiss if you open the door.,Are you as beautiful on the inside as you are on the outside?
How can I plan our wedding if I don’t have your number?,Do you play soccer? Because you look like a keeper. ,Can I borrow a proton? I want to attract you.,"Hey baby, can i see what's under your radical?","Do u like me? Text '1′ for 'Yes,' '2′ for 'No.",How did you sleep? Because I want to make sure you always have a good night's rest.,Knock knock! Who's there? Aldo. Aldo who? Aldo anything for you.,Are you Australian? Because you meet all of my koala-fications.
"You can delete the dating app now, I’m here. ",How can I plan our wedding if I don’t have your number?,Can I have your significant digits?,"Hey baby, what's your sine?",Do you think we can make it a step more serious and disable network sharing?,I can't help but feel sleepy around you - you must be my nap soulmate.,"Knock knock! Who's there? Amanda. Amanda who? Amanda lay you, your lonely nights are over.",Are you busy tonight around 2 a.m.?
"This might sound cheesy, but I think you’re really grate. ","You can delete the dating app now, I’m here. ",Did you swallow a magnet? Because you’re attractive.,"Hey baby, what's your tanx cosx?","Don't worry honey, they call it my dual-channel RAM.",I can't sleep without you by my side.,Knock knock! Who's there? Baby owl. Baby owl who? Baby owl see you later at my place.,"Are you cold? You look like you could use some hot chocolate... Well, here I am!"
"If you were a fruit, you'd be a ""fine-apple.""","This might sound cheesy, but I think you’re really grate. ",Do you have 11 protons? Because you’re sodium fine.,"Hey, baby want to Squeeze my Theorem while I poly your nomial?","Don't worry, the first couple of times it's always Abort, Retry, Fail.","I could get lost in your eyes for hours, even while we're sleeping.",Knock Knock! Who's there? Beautiful! Beautiful who? You!,Are you form Tennessee? Because you're the only ten I see!!!
Are you from Tennessee? Because you're the only 10 I see. ,"If you were a fruit, you'd be a ""fine-apple.""",Do you have a magnetic field? Because I’m really attracted to you.,Hey...nice asymptote.,"Every once and a while two numbers meet, link, and become forever binary.","I could really use a nap, but I'd rather spend that time with you.","Knock knock! Who's there? Bill Cosby. Bill Cosby who? Never mind, I'll come back when you're asleep, soon.",Are you from China? Because I'm China get your number.
Wanna touch my shirt? It's made of boyfriend/girlfriend/partner material. ,Are you from Tennessee? Because you're the only 10 I see. ,"Does your skin feel burnt? Because I think you must have just fallen down from heaven, and re-entry would have caused some problems for you.","Hi, I hear you're good at algebra.....Will you replace my eX without asking Y?","Girl, are you Wi-Fi? Cuz im feeling the connection!",I could stay in bed with you all day and never get tired.,"Knock Knock! Who's there? Butch, Jimmy and Joe. Butch, Jimmy, and Joe Who? Butch your arms around me, Jimmy a kiss, and let's Joe. ",Are you from Holland? Because amsterdayyyuuumm.
Are your parents bakers? Because you're a cutie pie. ,Wanna touch my shirt? It's made of boyfriend/girlfriend/partner material. ,Don’t you hate it how the coyote always remains suspended in midair until he looks down? It’s just SO misleading.,"Honey, you're sweeter than pi.","Girl, you are an A++.",I could watch you sleep forever and never get bored.,Knock knock! Who's there? Butch. Butch who? Butch your arms around me and give me a hug.,Are you from Tennessee? Because you're the only ten I see!
"If you and I were socks, we'd make a great pair. ",Are your parents bakers? Because you're a cutie pie. ,Engineers don’t know the first thing about pleasing a woman. Friction alone can’t get the job done.,"How about I perform a sort on your variables, and you can analyze my performance?","Girl, you are hotter than the bottom of my laptop.","I don't always nap, but when I do, I dream about you.",Knock knock! Who's there? Candice. Candice who? Candice be love that I'm feeling?,Are you going to kiss me or do I have to lie about that part?
Did it hurt when you fell from heaven? ,"If you and I were socks, we'd make a great pair. ","Even if there were no gravity on Earth, I’d still fall for you!","How about you come to my place tonight, so I can show you the growth of my natural log",Have you been Googling me? I've got my blog all tricked out with analytics and I think I've been seeing your IP address in them.,"I don't know about you, but I could really use a nap right now - and you, of course.",Knock knock! Who's there? Dewey. Dewey who? Dewey have to use a condom?,Are you going to kiss me or do I have to lie to my diary?
Aren't you tired? From running through my mind all day?,Did it hurt when you fell from heaven? ,"Heisenberg is always right, because I would be both doing you and not doing you tonight.",How can I know so many hundreds of digits of pi and not the digits of your phone number?,Here's my number: 0011 0011 1011 0001 0010 1000 0101,"I don't need coffee to wake up in the morning, I just need the thought of you.",Knock knock! Who's there? Grab! Grab who? Me!,Are you Google? Because I've just found what I've been searching for.
"If I could rearrange the alphabet, I'd put U and I together. ",Aren't you tired? From running through my mind all day?,Heisenberg was wrong. I’m certain about what you are doing tonight.,"Huygens’ favorite curves were cycloids, but my favorite curves are yours.","Hey baby, did you know I am wearing a C-String?","I hope I'm in your dreams tonight, because you've been on my mind all day.",Knock knock! Who's there? Honeydew. Honeydew who? Honeydew know who fine you're looking?,Are you Jewish? Because you ISRAELI HOT.
"Well, here I am! What are your other two wishes?","If I could rearrange the alphabet, I'd put U and I together. ",Hey baby. It’s massive. You know what I’m talking about.,I 1-sin(theta) you,"Hey baby, I'm a power source, and you're the kind of resistor I'd like to deliver my load to.",I hope I'm the last thing you think about before you fall asleep and the first thing you think about when you wake up.,Knock knock! Who's there? Howie. Howie who? Howie gonna hide this affair from your husband?,Are you looking for a shallow relationship?
Are you a parking ticket? You've got fine written all over you.,"Well, here I am! What are your other two wishes?",How do you feel about group experiments?,I am equivalent to the Empty Set when you are not with me.,"Hey Baby, Let me hack your kernel.",I hope you dream about me tonight because I'll definitely be dreaming about you.,"Knock knock! Who's there? Ike. Ike who? Ike can rock your world, baby.",Are you lost ma'am? Because heaven is a long way from here
"If you were a chicken, you'd be ""im-peck-able"" ",Are you a parking ticket? You've got fine written all over you.,I bet that dress looks even better accelerating towards my bedroom floor at 9.82 m/s2,"I can figure out the square root of any number in less than 10 seconds. What? You don’t believe me? Well, then, let’s try it with your phone number.","Hey baby, lets turn off our firewalls and connect our Ethernet cable.","I know it's a little bit old-fashioned, but I'd love to have a sleepover with you.","Knock knock! Who's there? Ima. Ima who? Ima horny, let's screw.",Are you my Appendix? Because I have a funny feeling in my stomach that makes me feel like I should take you out.
 Did you just come out of an oven? Because you're too hot to handle.Woman's Day,"If you were a chicken, you'd be ""im-peck-able"" ",I don’t need a calculator to know that we’re a perfect match.,I do believe I am your reciprocal; we will be one when we multiply.,"Hey cutie! I have a processor, and if you have an empty slot on your motherboard.","I know we're just friends, but would you like to have a sleepover with me?",Knock knock! Who's there? Ivan. Ivan who? Ivan to do something naughty with you.,"Are you my phone charger? Because without you, I'd die."
"They say dating is a numbers game, so can I get yours?", Did you just come out of an oven? Because you're too hot to handle.Woman's Day,I don’t need to measure your position and momentum to know you’re the one for me.,"I don't know if you're in my range, but I'd sure like to take you home to my domain.","Hey, how 'bout I take off your cover and insert a bigger CPU.","I love sleeping next to you, but waking up next to you is even better.",Knock knock! Who's there? Jamaican. Jamaican who? Jamaican me horny.,Are you on Nickelodeon? Because you're a-Dora-ble!
Know what's on the menu today? Me 'n u.,"They say dating is a numbers game, so can I get yours?","I feel a strong force between us, and it’s not just gravity.",I don’t like my current girlfriend. Mind if I do a you-substitution?,How about we do a little peer-to-peer saliva swapping?,"I love the way you look when you're sleeping, peaceful and serene.","Knock knock! Who's there? Juno. Juno who? Juno I love you, don't you?",Are you related to Jean-Claude Van Damme? Because Jean-Claude Van Damme you're sexy!
"I was feeling a little off today, but you've turned me on again. ",Know what's on the menu today? Me 'n u.,"I feel a strong force pulling me towards you, and I think it’s the electromagnetic one.","I heard you like math, so what's the sum of U+Me",How about we go home and you handle my exception?,"I may be tired, but I can't fall asleep without hearing your voice.",Knock knock! Who's there? Justin. Justin who? Justin time to give you a kiss.,Are you religious? Because you're the answer to all my prayers.
Is your dad a boxer? Because you're a knockout.,"I was feeling a little off today, but you've turned me on again. ",I have E=mc² tattooed on my ass. Wanna see?,I heard you're good at algebra - Could you replace my X without asking Y?,How'd you like to come to MySpace so I can Twitpic your Yahoo until you tweet my Tumblr and I Google all over your Facebook!,"I need a nap, but I'd much rather have one with you.","Knock knock! Who's there? Mirra. Mirra who? Mirra mirra on the wall, you're the fairest of them all.",Are you sure you're not an alien because you've just abducted my heart!
Are you a loan? Because you've got my interest.,Is your dad a boxer? Because you're a knockout.,"I haven’t gotten laid in 4 years, 3 months, and 12 days, plus-or-minus 2 days. Would you care to check my error bars?",I heard you're sin because you're always on top when we make tangent,How'd you like to come to MySpace so I can Twitter you with my Yahoo until I Google on your Facebook?,I never knew how much I needed a good night's sleep until I met you.,Knock knock! Who's there? Needle. Needle who? Needle little love right now.,"Are you the moon? Because even when it's dark, you still seem to shine."
"If you were a vegetable, you'd be a cute-cumber.",Are you a loan? Because you've got my interest.,"I know the spring constant of my mattress, interested in taking some data?",I hope you know set theory because i want to intersect and union you,I am a Boolean method whose love will always return true.,I never knew how much I needed someone to cuddle with until I met you.,"Knock knock! Who's there? Radio! Radio who? Radio not, here I come!",Are you the new school janitor? Because you just swept me off my feet.
Are you French? Because Eiffel for you. ,"If you were a vegetable, you'd be a cute-cumber.","I might be a physics major, but I’m no Bohr in bed.",I less than three you..... (i <3 you>,I am a Buffered Reader. You input meaning into my life.,I never knew how much I needed someone to hold me until I met you.,Knock knock! Who's there? Tex. Tex who? Tex two to tango.,"Are you Willy Wonka's daughter, Because you look sweet and delicious."
Are you my appendix? Because this feeling in my stomach makes me want to take you out. ,Are you French? Because Eiffel for you. ,"I must be a black hole, because I feel a strong gravitational pull towards you.","I need a little help with my Calculus, can you integrate my natural log?",I am the field attribute in your class: I can't exist unless you do.,I never thought I'd find someone who could match my sleeping schedule until I met you.,Knock knock! Who's there? Waldo. Waldo who? I have heard that you have been trying to find me.,Are your parents bakers? Because they sure made you a cutie pie!
"If you were a triangle, you'd be acute one. ",Are you my appendix? Because this feeling in my stomach makes me want to take you out. ,I must be a quark because I’m constantly attracted to you.,I not good at algebra but you and I together make 69!!!,I CAN HAS DA NASTY WIT U?,I want to be the first thing you see when you wake up and the last thing you think about before you fall asleep.,"Knock knock! Who's there? When where. When where who? Tonight, my place, me and you.","Are your parents retarded, 'cause you sure are special."
"I'm new in town, can I have directions to your house?","If you were a triangle, you'd be acute one. ","I must be a string theorist, because I believe in multiple universes where we’re together in every one of them.",I think if you and i had Hex we'd be a perfect OA,"I didn't mean to ogle you, but I'd sure like to Google you.",I want to be the one who helps you sleep like a baby every night.,Knock knock! Who's there? Adore. Adore who? Adore is between us open it up,"Babe, your beauty makes the morning sun look like the dull glimmer of the moon."
"Are you a magician? Because when I look at you, everyone else disappears.  ","I'm new in town, can I have directions to your house?","I must be a subatomic particle, because I can’t seem to escape your strong attraction.",I think that convex butts are ALWAYS better than concave butts..you look toned,I googled your name earlier... I clicked on 'I'm Feeling Lucky.',"I want to be the one who you hold close and never let go, even in your sleep.",Knock! Knock! Who’s there? I love you! I love you who? You!,Babe! you look so fine I could drink your bath water!
" Wow, I've been blinded by your beauty. I'll need your name and number for insurance purposes. ","Are you a magician? Because when I look at you, everyone else disappears.  ",I must be an electron because you just knocked me off my feet.,I use my rod of infinite length for more than just simplifying calculations...,"I had to drop out of college because the $250,000,000 software company I started in my dorm room was taking up too much of my time. Can I buy you a PC?",I want to be the one who you think about before you fall asleep and after you wake up.,Knock! Knock! Who’s there? Snow. Snow who? Snow use. I am crazy about you.,"Baby I might not be Sriracha sauce but, I sure will spice up your life."
Are you a keyboard? Because I think you might just be my type. ," Wow, I've been blinded by your beauty. I'll need your name and number for insurance purposes. ","I must be dark matter, because I can’t be seen but I know I’m affecting you.","I wish I was your calculus homework, because then I'd be hard and you'd be doing me on your desk.","I hope you're an ISO file, because I'd like to mount you.",I want to be the one you dream about every night.,"Knock, knock Who's there? Obi-Wan. Obi-Wan who? You're the Obi-Wan for me!","Baby, I know my chemistry, and you've got one significant figure."
"Stop, drop and roll! Because baby, you’re on fire. ",Are you a keyboard? Because I think you might just be my type. ,"I must be in a quantum state of tunneling, because my heart is jumping the potential barrier towards you.",I wish I was your derivative so I could lie tangent to your curves,"I must be using Apple maps, because I keep getting lost in your eyes.",I want to be your pillow so I can support you through all your dreams.,"Knock, Knock! Who’s there? Baker! I got some nice buns for you.","Baby, I'm no Fred Flintstone, but I can make your Bedrock!"
"Oh, you’ve got something on your face. My eyes.","Stop, drop and roll! Because baby, you’re on fire. ","I supply voltage, you a little resistance; imagine the current we can make together.",I wish I was your differential because then I'd be touching all your curves.,I need to hop over to Facebook for a second to change my status to smitten.,I want to be your sleeping beauty and wake up to your true love's,"Knock, Knock! Who’s there? Canoe! Canoe who? Canoe give some loving?","Baby, if you were words on a page, you'd be what they call FINE PRINT!"
"If you were a potato, you’d be a sweet potato.","Oh, you’ve got something on your face. My eyes.",I think we could have some serious chemistry together.,"I wish i was your problem set, because then I'd be really hard, and you'd be doing me on the desk.",I output gibberish as you tap my keypad.,I want to be your sleepwalking partner for life.,"Knock, Knock! Who’s there? Disguise! Disguise who? This guy is your boyfriend!","Baby, you are so fine I could put you on a plate and sop you up with a biscuit."
"If I were a cat, I'd spend all nine of my lives with you.","If you were a potato, you’d be a sweet potato.","I wish I was a derivative, just so that I could get to lie tangent to your curves.",I wish I was your secant line so I could touch you in at least two places!,I think we should increase our bandwidth.,I want to be your teddy bear and cuddle you all night long.,"Knock, Knock! Who’s there? Doctor! Doctor who? Oh yes I am a doctor.","Baby, you're so hot, you make the equator look like the north pole."
"I thought this was a but it must actually be a museum, because you're a work of art. ","If I were a cat, I'd spend all nine of my lives with you.",I’d like to be the photon to your electron and transition to a higher state of energy.,I wish I was your second derivative so I could investigate your concavities.,I think you could be an integral part of my project life cycle.,I want to fall asleep holding your hand and wake up to your kisses.,"Knock, knock! Who’s there? Howard. Howard who? Howard you like a big kiss?","Baby, you're so sweet, you put Hershey's outta business."
What is it like to be the most gorgeous person in this room? ,"I thought this was a but it must actually be a museum, because you're a work of art. ",I’d really like to study this ‘heavenly body’.,I wish I were a predicate so I could be the direct object of your affection.,I think you're my compiler. My life wouldn't start without you.,I want to fall asleep in your arms and wake up to your smile every day.,"Knock, knock! Who’s there? Kiss. Kiss who? ME!","Be unique and different, say yes."
"I don't know your name, but I'm sure it's just as beautiful as you are.  ",What is it like to be the most gorgeous person in this room? ,I’m attracted to you like an electron to a proton.,I wish I were your second derivative so i could fill your concavities.,I want all of our functions to be read/write.,I want to fall asleep in your arms and wake up to your sweet kisses.,"Knock, knock! Who’s there? Mikey. Mikey who? Mikey doesn’t fit in the keyhole.","Because of you, I laugh a little harder, cry a little less, and smile a lot more."
"I'm not a photographer, but I can definitely picture us together. ","I don't know your name, but I'm sure it's just as beautiful as you are.  ","I’d love to be in a superposition with you, where we exist in multiple states of affection at the same time.",I wish u were the Pythagorean theorem so I can insert my hypotenuse into your legs.,I was hoping you wouldn't block my pop-up.,I want to fall asleep listening to the sound of your heartbeat.,"Knock, Knock! Who’s there? Olive. Olive who? Olive right next to you.",
